,EUA FUTURES - EUA - DEC25,,,UKA FUTURES - UKA - DEC25,,,CCA FUTURES - CCA V25 - DEC25,,,CCA FUTURES - CCA V26 - DEC26,,,EUA DAILY FUTURES - EUA DAILY - FUTURES TODAY,,UKA DAILY FUTURES - UKA DAILY - FUTURES TODAY,
45833,71.15,31975,322739,49.63,3737,56605,28.44,5526,177616,30.25,80,56688,70.29,5784,48.56,1296
45832,73.54,38626,321931,51.27,1589,55514,27.87,2770,178376,29.67,700,56698,72.67,8029,50.16,20
45831,73.27,26599,324446,50.79,1642,55538,27.91,2453,178422,29.73,135,56156,72.38,6767,49.69,142
45828,72.97,22325,324690,51,1234,55234,27.84,2683,178062,29.66,956,56213,72.09,6142,49.83,2261
45827,72.74,41798,325610,51.67,2176,55128,27.67,43,178410,29.51,0,56290,71.86,3869,50.47,646
45826,74.61,25811,324035,53.64,1145,54903,27.67,4217,178440,29.51,665,56290,73.69,2376,52.39,232
45825,74.64,25551,325145,53.3,1260,54757,27.13,2839,177842,28.97,175,55886,73.72,2860,52.07,76
45824,75.34,29697,323780,53.86,1100,54785,26.84,2266,177828,28.68,831,55786,74.41,3680,52.64,16
45821,75.94,29689,323965,54.56,1622,54802,26.82,2306,178762,28.64,1030,55339,75,718,53.3,14233
45820,75.39,36666,324500,53.92,1997,54746,26.72,2435,180193,28.53,1327,55157,74.46,5282,52.66,166
45819,74.36,30307,322494,52.75,3186,54589,26.7,1425,180508,28.5,150,54300,73.43,2675,51.5,1389
45818,72.66,27510,320699,51.79,1576,53891,26.82,2239,180679,28.64,770,54150,71.75,5083,50.56,27
45817,74.23,21681,320734,51.41,1438,53599,26.91,2618,180838,28.74,775,53960,73.3,385,50.19,3
45814,73.5,15973,321022,50.4,1050,53750,26.85,3463,181852,28.69,1328,53460,72.56,1051,49.16,0
45813,72.74,27691,321194,50.5,1056,53754,26.83,4553,182689,28.62,501,52914,71.79,2311,49.25,16
45812,72.61,22761,320187,50.3,1029,53946,26.84,5843,183944,28.6,1265,52513,71.67,1464,49.03,17
45811,72.6,27013,319824,50.67,1664,53808,26.9,3904,183449,28.71,1278,52213,71.66,5250,49.39,118
45810,70.91,26323,317426,50.11,1630,53872,26.94,1959,183281,28.74,40,50966,69.97,1137,48.79,43
45807,70.41,19730,317555,51.26,746,53848,26.86,4091,183433,28.65,409,50931,69.48,2397,49.92,58
45806,70.94,24700,320491,51.82,1544,53802,26.9,6819,182402,28.7,276,50712,69.99,1674,50.48,133
45805,72.07,24162,320932,51.72,3473,55791,26.96,3149,182193,28.76,410,50602,71.09,4869,50.36,1008
45804,71.76,24938,318101,52.05,1867,54586,27.06,2943,181836,28.89,401,50357,70.77,4248,50.66,324
45803,73.03,13103,316769,51.69,0,54320,27.26,0,181772,29.06,0,50007,72.02,234,50.28,0
45800,71.56,29771,317448,51.69,2088,54320,27.26,1503,181806,29.06,103,50007,70.57,2254,50.28,320
45799,72.15,25750,318727,52.95,1644,53563,27.19,1867,181349,29,876,49918,71.12,1534,51.51,26
45798,72.74,22246,318115,54.82,2237,53235,27.19,5756,181407,29,2088,49107,71.71,1017,53.35,352
45797,73.18,29314,317798,55.08,4010,52860,27.25,2162,180742,29.04,477,47100,72.14,2794,53.58,110
45796,70.42,34545,316698,52.43,5529,53510,27.2,1636,180579,29,55,46915,69.4,2305,51.06,41
45793,70.99,36994,317705,48.36,2496,53843,27.45,1715,180227,29.25,118,46865,69.94,2974,47.04,675
45792,73.41,25382,317478,48.66,3214,53147,27.75,1731,180041,29.57,60,46865,72.34,1509,47.34,301
45791,72.33,21274,318806,49.44,5212,53149,28.34,4919,180100,30.19,1294,46815,71.25,2666,48.07,2153
45790,72.9,29597,318809,51.75,2738,51492,28.21,2217,179539,30.06,538,46010,71.81,2260,50.32,0
45789,73.41,33933,322318,52.71,2193,51863,28.4,2583,179415,30.25,852,45804,72.31,3501,51.23,88
45786,70.39,20188,323552,51.39,1623,52116,28.17,2268,179470,30,590,45297,69.35,3167,49.99,533
45785,70.72,25131,324400,51.77,2085,52423,27.92,4904,179471,29.73,2609,44795,69.67,1306,50.37,7
45784,71.06,33334,325047,51.87,1816,52653,27.94,3203,179155,29.72,1885,43170,70.01,2806,50.46,3041
45783,69.27,27184,328301,50.75,1875,52525,27.93,1771,178971,29.69,200,41880,68.22,2363,49.33,220
45782,67.47,20259,327642,,,,27.78,1374,179228,29.53,6,41880,66.45,548,,
45779,68.76,27728,327584,49.63,1800,52245,27.66,3453,179448,29.42,460,41882,67.73,1027,48.24,641
45778,67.02,9489,328038,47.96,2054,52063,27.34,4037,179050,29.08,2352,41782,66.01,182,46.62,370
45777,66.55,22933,329167,47.21,3521,51929,27.16,3114,179993,28.88,1321,40827,65.54,405,45.87,1255
45776,64.85,24939,331622,47.62,2307,51097,27.08,3148,180655,28.82,793,40042,63.82,1454,46.27,229
45775,65.31,23552,328527,47.52,3645,50935,27.11,1907,180201,28.85,1456,39605,64.28,1383,46.17,214
45772,66.43,24749,328566,47.46,2309,50461,27.27,4720,180379,29.02,1316,39009,65.38,1044,46.09,775
45771,66.31,26372,328740,47.5,1898,49976,27,7938,180315,28.73,3426,39017,65.27,1724,46.14,159
45770,66.9,32337,328807,48.22,2155,49806,26.87,7876,180129,28.57,3940,38918,65.84,1920,46.85,32
45769,64.39,26243,329625,46.7,2351,49772,27.1,5936,179221,28.8,2393,40342,63.35,1688,45.38,618
45768,65.89,0,328126,47.16,0,49639,27.29,4545,178295,28.96,537,38848,64.78,0,45.72,0
45765,,,,,,,,,,,,,,,,
45764,65.89,21383,328130,47.16,1185,49642,27.96,1401,177290,29.67,142,38361,64.78,5226,45.72,1247
45763,66.97,26885,327733,47.4,2585,49686,27.4,3379,177241,29.1,1102,38426,65.82,3019,45.96,719
45762,66.19,27300,328550,47.43,1178,49055,27.63,8052,177488,29.35,1908,37631,65.07,5344,46.06,55
45761,66.51,27992,327744,47.02,1341,48874,26.7,4269,178241,28.39,125,38248,65.36,1692,45.62,50
45758,64.82,37729,328218,46.23,3521,48945,26.72,4473,180266,28.45,847,38143,63.71,2186,44.88,129
45757,62.12,41994,328856,43.18,2304,48611,26.98,15552,181869,28.69,3297,37973,61.05,2084,41.88,40
45756,60.94,48627,329497,41.18,3329,48390,27.36,39353,181408,29.12,5431,37647,59.89,2092,39.88,578
45755,62.06,44524,329531,41.71,2953,48042,29.83,5185,184742,31.67,1620,34479,60.94,3098,40.37,352
45754,62.84,66179,330726,41.79,4901,47671,29.84,2284,184778,31.67,415,34047,61.73,4178,40.42,222
45751,63.82,64779,331383,43.28,2223,47436,29.62,7421,184817,31.47,3361,34305,62.67,4922,41.85,208
45750,66.06,49996,336361,44.88,2555,47514,29.98,6691,184961,31.88,5096,32548,64.82,4094,43.41,291
45749,68.55,26794,336480,44.9,2257,47816,30.26,3392,185352,32.2,1470,30107,67.23,3425,43.38,884
45748,69.86,35632,333401,45.89,2197,47115,30.49,2778,186333,32.45,1290,29666,68.52,5895,44.33,411
45747,67.98,35099,330277,45.06,1481,47091,30.79,1436,185901,32.76,825,28931,66.66,1304,43.51,169
45744,68.8,22718,330548,44.59,976,47049,30.9,1245,185932,32.87,553,29381,67.44,3209,43.04,28
45743,68.54,43810,330741,44.98,2418,46680,30.74,4015,185946,32.71,1460,28878,67.16,0,43.42,326
45742,70.83,30763,331610,46.34,1973,46704,30.86,3243,185783,32.85,270,27878,69.37,0,44.72,579
45741,70.46,27998,331662,46.71,2585,46634,31.55,2511,185772,33.57,6,27868,68.99,0,45.09,6
45740,71.52,23883,330494,46.03,2597,46611,31.71,4893,185500,33.73,605,27862,70.05,0,44.44,79
45737,71.45,26970,330421,46.24,2058,46615,30.65,2231,188972,32.62,37,27507,69.94,3453,44.58,1405
45736,73.01,27713,329253,46.54,1757,46487,30.55,1538,189000,32.52,538,27502,71.47,0,44.88,711
45735,73.44,35877,328614,46.42,2438,45983,30.73,3907,189386,32.71,297,26964,71.89,0,44.76,965
45734,71.3,31663,326310,45.78,2910,45414,30.97,5058,188701,32.97,1061,26734,69.8,0,44.18,309
45733,70.11,20052,322939,43.54,1760,45536,30.12,4138,187609,32.1,76,25673,68.61,0,41.98,5
45730,70.99,25079,322745,44.29,1825,45526,29.9,4517,188987,31.87,1500,25597,69.47,1442,42.69,32
45729,70.6,37734,321147,44.04,5336,45604,30.02,18409,190135,31.99,4620,24354,69.09,0,42.52,103
45728,69.62,27441,320702,41.39,3651,44973,31.21,6389,190944,33.21,397,20646,68.12,0,39.93,384
45727,68.24,30997,319989,38.5,1698,45055,31.35,5812,190303,33.33,2300,20454,66.75,0,37.09,227
45726,69.01,37583,318886,39.3,2839,44272,31.89,5613,192293,33.85,8,19042,67.48,0,37.88,383
45723,68.63,41022,313127,39.06,2626,44371,32.97,4509,194185,35.03,110,19042,67.11,6742,37.62,17
45722,67.32,42508,312131,38.92,2733,44174,32.89,3165,195148,34.95,167,19032,65.79,2505,37.48,93
45721,68.79,40171,309971,39.64,3314,44136,32.47,4215,195486,34.5,250,18892,67.26,4331,38.17,848
45720,68.5,53985,309732,39.69,1970,44402,32.11,2576,196376,34.11,335,18742,66.99,6183,38.34,167
45719,71.55,26455,306181,41.51,2026,44815,32.21,1021,196552,34.25,25,18732,69.97,1492,40.01,154
45716,71,27422,305033,42.87,1375,45203,32.06,2547,196587,34.1,0,18707,69.4,1964,41.37,15
45715,72.78,35015,306175,43.5,2411,44931,32.36,4499,196850,34.41,0,18707,71.16,1578,41.9,74
45714,71.02,32840,307467,41.82,2566,45221,32.14,5412,197355,34.19,250,18707,69.4,1349,40.31,14
45713,71.75,31670,308138,40.67,2558,45581,31.63,3070,196541,33.64,45,18457,70.08,3593,39.2,829
45712,73.66,31862,307865,41.21,3248,45007,31.5,3630,195205,33.55,0,18412,71.94,2273,39.61,1573
45709,73.9,29690,309194,40.66,1767,44272,31.4,2898,194665,33.45,364,18412,72.15,2555,39.06,40
45708,72.67,42974,309737,40.2,4113,44277,30.87,7067,194831,32.9,250,18434,70.9,2739,38.58,1558
45707,74.02,32295,309342,42.96,3737,43718,30.24,6282,193976,32.27,175,18362,72.23,4137,41.23,1190
45706,75.74,46175,310867,44.26,2260,42976,30.83,6113,190012,32.88,50,18382,73.92,2775,42.56,764
45705,77.21,26537,313288,45.29,1479,42598,31.32,123,189295,33.37,0,18332,75.34,3620,43.41,37
45702,79.75,32366,313285,46.71,1971,42360,31.32,6609,189298,33.37,419,18332,77.84,1563,44.8,0
45701,78.05,43482,313902,46.06,2267,42294,30.56,2189,188629,32.59,418,18446,76.15,2885,44.23,5
45700,80.29,31617,314720,46.22,3864,42421,30.29,6562,188952,32.32,254,18679,78.33,3110,44.41,1395
45699,82.59,30997,312360,47.65,4455,41984,30.2,5859,186634,32.22,652,18433,80.6,1752,45.73,122
45698,82.94,25919,309021,48.4,1834,41985,29.7,3493,184872,31.72,398,17883,80.96,1821,46.5,102
45695,82.28,21363,307153,46.97,3087,42353,29.95,5373,183019,31.96,825,17600,80.29,2764,45.07,710
45694,81.93,31289,307136,45.82,2719,42916,30.18,5673,181561,32.2,1114,17433,79.94,5087,43.92,76
45693,81.12,28077,302392,45.73,5481,43287,30.43,2883,180558,32.45,631,16912,79.14,3173,43.83,1384
45692,80.88,34146,300191,44.09,4007,42708,30.73,1582,180199,32.76,63,16636,78.86,2783,42.19,271
45691,80.96,42835,299817,45.05,4611,42895,30.54,3664,180047,32.58,259,16606,78.92,8743,43.19,20
45688,83.93,25673,298024,45.81,5338,44098,31.07,2068,179692,33.12,11,16763,81.79,1650,43.93,246
45687,82.66,30008,296306,44.25,5234,44706,30.92,2618,179144,32.97,35,16764,80.5,3641,42.33,178
45686,82.95,33851,295720,42.15,3620,45165,31.07,3115,178302,33.09,166,16754,80.76,1785,40.3,258
45685,80.26,31799,296177,40.02,5793,45725,30.95,9682,178287,32.97,1096,16724,78.12,1996,38.22,259
45684,79.36,29406,295952,35.39,1003,45452,30.5,8457,177617,32.47,2050,16921,77.22,2614,33.82,54
45681,81.67,27479,295959,35.12,1854,45432,31.17,7141,175656,33.16,1475,15871,79.49,1459,33.62,161
45680,80.76,39240,298028,33.69,2109,45664,31.21,3673,175020,33.21,275,14521,78.59,7579,32.21,230
45679,78.94,26233,298262,32.65,2643,45687,31.58,4745,174436,33.58,75,14421,76.83,3500,31.2,1360
45678,80.27,33204,297541,32.89,882,45423,31.56,6907,172676,33.55,598,14420,78.13,3645,31.51,40
45677,79.99,28308,298121,32.97,2318,45264,32.3,274,171039,34.34,0,13897,77.86,2946,31.55,62
45674,79.26,33966,297810,31.54,2819,45111,32.3,2132,170992,34.34,75,13897,77.11,3005,30.19,26
45673,78.33,29682,296081,32.57,2571,45314,32.53,7341,170950,34.57,1167,13897,76.19,3000,31.06,229
45672,77.98,32855,294142,33.36,2395,44706,32,11649,171229,34,1150,12939,75.83,2477,31.79,350
45671,76.96,23687,293909,34.31,1035,44417,32.39,13675,170949,34.44,1565,12398,74.83,4651,32.69,50
45670,76.92,30685,293042,35.1,1440,44111,35.32,2416,169288,37.52,300,12578,74.81,2324,33.48,56
45667,74.85,28426,293931,34.88,1392,44435,34.82,2073,169173,37.02,12,12328,72.81,3235,33.2,120
45666,73.46,26921,293657,34.19,1375,44295,35.1,1931,169131,37.26,75,12326,71.45,2378,32.53,54
45665,72.17,25207,293213,34.54,2744,44255,35.17,2679,169160,37.35,275,12301,70.18,1733,32.92,605
45664,74.04,26669,292105,34.6,1545,43941,36.22,3403,169246,38.47,100,12251,72.03,5058,33,26
